,accuracy,precision,recall,f1,mcc,training_time,testing_time,hyperparameters
10-Fold,"(0.990923484367636, 0.00017775370332674957)","(0.9926272239768709, 0.0002466145347177362)","(0.9907697090487352, 0.0002587625741835391)","(0.991697560739215, 0.00016804781688462914)","(0.98168992179833, 0.0003563422180865093)",1860.8143775463104,6.8253092765808105,-
0,0.9908147387670639,0.992118174562186,0.9910886503409178,0.9916031452277533,0.9814667345550058,243.41390943527222,0.7918617725372314,"{'iterations': 1000, 'learning_rate': 0.0986067284637147, 'depth': 12, 'l2_leaf_reg': 6, 'border_count': 64}"
1,0.9908500296764465,0.9928605034109621,0.9903909329829172,0.9916241806263656,0.9815461107606166,182.51311206817627,0.5967776775360107,"{'iterations': 750, 'learning_rate': 0.05553475790043052, 'depth': 12, 'l2_leaf_reg': 9, 'border_count': 64}"
2,0.9906575338070871,0.9923153080948565,0.9905407313285332,0.9914272256241168,0.9811651388099696,166.0331084728241,0.5981390476226807,"{'iterations': 1000, 'learning_rate': 0.09688639954921076, 'depth': 10, 'l2_leaf_reg': 7, 'border_count': 128}"
3,0.9911451900094643,0.9926789699017811,0.9911696422827937,0.9919237319381288,0.9821256709858317,198.9195318222046,0.7235713005065918,"{'iterations': 1000, 'learning_rate': 0.06699903653229432, 'depth': 11, 'l2_leaf_reg': 6, 'border_count': 64}"
4,0.9911676478608896,0.9929172642418828,0.9909194896612407,0.9919173710463965,0.9821844329082964,198.676278591156,0.7560842037200928,"{'iterations': 1000, 'learning_rate': 0.09968483407117895, 'depth': 11, 'l2_leaf_reg': 10, 'border_count': 64}"
5,0.9907697934512695,0.9927071212815721,0.9904081237797621,0.9915562899329962,0.9813812575664326,145.3078715801239,0.6151235103607178,"{'iterations': 1000, 'learning_rate': 0.09425738920174677, 'depth': 9, 'l2_leaf_reg': 7, 'border_count': 128}"
6,0.9907152527799701,0.9924101901854896,0.9906192139123913,0.9915138932873547,0.9812665353355283,166.05631351470947,0.6732149124145508,"{'iterations': 1000, 'learning_rate': 0.09507964756012038, 'depth': 10, 'l2_leaf_reg': 8, 'border_count': 254}"
7,0.990946248564297,0.9926946908886073,0.9907645997798028,0.9917287062547628,0.98173127868316,181.43273401260376,0.6624135971069336,"{'iterations': 750, 'learning_rate': 0.09718496418790938, 'depth': 12, 'l2_leaf_reg': 4, 'border_count': 128}"
8,0.9910906209295014,0.9928218404330431,0.9908571495681074,0.9918385220583265,0.982032697556541,196.2536461353302,0.7071559429168701,"{'iterations': 1000, 'learning_rate': 0.0736023205037369, 'depth': 11, 'l2_leaf_reg': 7, 'border_count': 254}"
9,0.9910777878303721,0.9927481767683292,0.9909385568508847,0.9918425413959492,0.981999360821919,182.2078719139099,0.7009673118591309,"{'iterations': 750, 'learning_rate': 0.06723120110139268, 'depth': 12, 'l2_leaf_reg': 2, 'border_count': 128}"
